"Name","FullName","LastWriteTime","Length","Hash"
"2b4.ps1","C:\sc\xopBuildLibrary\Public\2b4.ps1","5/5/2026 11:38:01 AM","1916","EBA343BC18C18296D239C6F9E2D1BB171E389A78BB6F2AA9FF502A55A1A8FD78"
"2b4c.ps1","C:\sc\xopBuildLibrary\Public\2b4c.ps1","5/5/2026 11:38:01 AM","2043","5AC1E657C597388CF956A7B7AEF37D46FCCCA9B2D7D9DD905C45726B0630519E"
"Clear-AutodiscoverServiceConnectionPointTDO.ps1","C:\sc\xopBuildLibrary\Public\Clear-AutodiscoverServiceConnectionPointTDO.ps1","5/5/2026 11:38:01 AM","8672","2CEDABC491EF9B6FA03BDD72444684D898A7F34F3981CFA92178DF655325BD3F"
"complete-CleanupExchange15.ps1","C:\sc\xopBuildLibrary\Public\complete-CleanupExchange15.ps1","5/5/2026 11:38:01 AM","8812","E673F569AB973BC95F5A3D1F360F77AF74757A248CEB22258D4F5FD320F598BF"
"Disable-IEESCTDO.ps1","C:\sc\xopBuildLibrary\Public\Disable-IEESCTDO.ps1","5/5/2026 11:38:01 AM","4185","F81232C650200670AF564C5A291A12E31A7071A4E7AACFEF17FC81E102BDD9CD"
"Disable-NICPowerManagementTDO.ps1","C:\sc\xopBuildLibrary\Public\Disable-NICPowerManagementTDO.ps1","5/5/2026 11:38:01 AM","5489","5C60EB57929676F2CE74CC902FC80FAEEE9BD531B28964EC6CE8DF91C5AAFDA8"
"Disable-RC4TDO.ps1","C:\sc\xopBuildLibrary\Public\Disable-RC4TDO.ps1","5/5/2026 11:38:01 AM","3870","59E8F581EE1D120CE5A0296D1F171803CC20F2426936FF66870254865160FC0D"
"Disable-SSL3TDO.ps1","C:\sc\xopBuildLibrary\Public\Disable-SSL3TDO.ps1","5/5/2026 11:38:01 AM","3548","5AD711EBDE0D1213BA104758F91FB68D54DEE912A1184C38B0DE0032F1517542"
"Enable-CBCTDO.ps1","C:\sc\xopBuildLibrary\Public\Enable-CBCTDO.ps1","5/5/2026 11:38:01 AM","3664","01290290F4B16B73F5A533B1E4C868E5E6974777BCCF3A7960666DCCFFE1B60C"
"Enable-HighPerformancePowerPlanTDO.ps1","C:\sc\xopBuildLibrary\Public\Enable-HighPerformancePowerPlanTDO.ps1","5/5/2026 11:38:02 AM","3675","6421B999234738286C568615A190A045E34570463772C09151A949F3C916D1A4"
"Enable-IEESCTDO.ps1","C:\sc\xopBuildLibrary\Public\Enable-IEESCTDO.ps1","5/5/2026 11:38:02 AM","4478","37DDB1F9794CE044C10735DECADFC4AC1328EEBCCCFB7D0BEC870A28C0E9080A"
"Enable-WindowsDefenderExclusionsTDO.ps1","C:\sc\xopBuildLibrary\Public\Enable-WindowsDefenderExclusionsTDO.ps1","5/5/2026 11:38:02 AM","10201","9E4967FC1151E92D88D643A95B61625475D7499C8296189A1CD7A85D02A0B5B2"
"fb4.ps1","C:\sc\xopBuildLibrary\Public\fb4.ps1","5/5/2026 11:38:02 AM","1934","DD8D83EE649AC51F0E2B196ABC8E0BA30D33FC709FB6BDF37AA86891621979DD"
"Get-ExchangeDomainLevelTDO.ps1","C:\sc\xopBuildLibrary\Public\Get-ExchangeDomainLevelTDO.ps1","5/5/2026 11:38:02 AM","3547","A4451CD42AFDEE1079762DC72FCD98F73EE21C4D1C984900E379B65A787B2EB9"
"Get-ExchangeForestLevelTDO.ps1","C:\sc\xopBuildLibrary\Public\Get-ExchangeForestLevelTDO.ps1","5/5/2026 11:38:02 AM","3483","87EE3E529063466AB085CF2C16392934AD434E0EBE907152C7C76B54CB75ABC5"
"Get-ForestConfigurationNCTDO.ps1","C:\sc\xopBuildLibrary\Public\Get-ForestConfigurationNCTDO.ps1","5/5/2026 11:38:02 AM","3329","8A1035B3D406E0ACEB01FA06AF7BF85D7AEE3E29BAA5EDBC651A6CC98792B771"
"Get-ForestFunctionalLevelTDO.ps1","C:\sc\xopBuildLibrary\Public\Get-ForestFunctionalLevelTDO.ps1","5/5/2026 11:38:02 AM","4676","3D696F27F5FD104E32CC08FA69A26FFCDC8A517A6951F532F948300815C89C91"
"import-xopCertificateFancyTDO.ps1","C:\sc\xopBuildLibrary\Public\import-xopCertificateFancyTDO.ps1","5/5/2026 11:38:03 AM","20402","E12EB963281D4A295EA3A0CD918200173539373772BE26DA3A059A2C85B0081A"
"invoke-Exchange15SetupFailPostflight.ps1","C:\sc\xopBuildLibrary\Public\invoke-Exchange15SetupFailPostflight.ps1","5/5/2026 11:38:03 AM","24510","EB86379DA409635D33FBDBBB0DF952E84268A399750D0FC9E729B182DC67ADF8"
"remove-Ex15BinDriveDeadwood.ps1","C:\sc\xopBuildLibrary\Public\remove-Ex15BinDriveDeadwood.ps1","5/5/2026 11:38:03 AM","9777","B6E755AE2BEC5C48CA58572339D0A335D98C803E55BC5F9A0020489CF04D5D4A"
"Restore-Exchange15StateTDO.ps1","C:\sc\xopBuildLibrary\Public\Restore-Exchange15StateTDO.ps1","5/5/2026 11:38:04 AM","5097","5957F0E66BBFFD34B45A5A2FAB3DC54B8618A5ADFEAC36232A787CF51D393B31"
"Save-Exchange15StateTDO.ps1","C:\sc\xopBuildLibrary\Public\Save-Exchange15StateTDO.ps1","5/5/2026 11:38:04 AM","5871","3BD2A1F121DE6EA30FC1D327AF9C6B88271D1A6A420E7316A2B1A13162F3DD86"
"Set-AutodiscoverServiceConnectionPointTDO.ps1","C:\sc\xopBuildLibrary\Public\Set-AutodiscoverServiceConnectionPointTDO.ps1","5/5/2026 11:38:04 AM","9449","1E63806E8EC21E598BD54D13473B962A795488E389564CABF0051B92A1E235E9"
"set-ExchangeUrls.ps1","C:\sc\xopBuildLibrary\Public\set-ExchangeUrls.ps1","5/5/2026 11:38:04 AM","31167","89E6987D11834C300EF704F8E0775CACC8289AB01D0BE8F9AD3E46D87784D5F9"
"set-ExLicenseTDO.ps1","C:\sc\xopBuildLibrary\Public\set-ExLicenseTDO.ps1","5/5/2026 11:38:04 AM","40946","2EC93E7FE2DE1838D5204E4AF50FF4183138CE33E086D31262AD89060792DDBD"
"Set-PagefileTDO.ps1","C:\sc\xopBuildLibrary\Public\Set-PagefileTDO.ps1","5/7/2026 9:50:02 AM","7621","111427A42A67D4E0D21E08A15034A87515885538758AC8758ED9CA498259D622"
"Set-TCPSettingsTDO.ps1","C:\sc\xopBuildLibrary\Public\Set-TCPSettingsTDO.ps1","5/5/2026 11:38:04 AM","4571","7D0A3CDECA4B0D42FDB01C05A052615741873D69F4BF7F56811172ED5B54A440"
"Set-TLSSettingsTDO.ps1","C:\sc\xopBuildLibrary\Public\Set-TLSSettingsTDO.ps1","5/5/2026 11:38:04 AM","9762","4137B1AE62BC8768DF42E933B5C6E2C5F35C80E4731D11BF339BBD13E4E5348C"
"show-ExchangeSetupLogSummary.ps1","C:\sc\xopBuildLibrary\Public\show-ExchangeSetupLogSummary.ps1","5/5/2026 11:38:04 AM","65538","90C028A07D11951E46AABDCCDF6EC7E9CE3FC1C8BB69154F0F693AA9D2667D69"
"Test-DomainNativeModeTDO.ps1","C:\sc\xopBuildLibrary\Public\Test-DomainNativeModeTDO.ps1","5/5/2026 11:38:04 AM","3710","B51DD928953BDB4565CE5F3DA6C2023EDA9787057BB30A0972AC5A06C3F98A71"
"Test-PendingRebootSimple.ps1","C:\sc\xopBuildLibrary\Public\Test-PendingRebootSimple.ps1","5/5/2026 11:38:05 AM","2909","6B7B2916FFE208AA550ABB2E90FB8FEA2085F08D2A00720C73543C23B4256973"
"test-xop15LocalInstallDrivesTDO.ps1","C:\sc\xopBuildLibrary\Public\test-xop15LocalInstallDrivesTDO.ps1","5/5/2026 11:38:05 AM","41016","AEDCD6DD30AD7888CDC8D19A316435F142A8FC97BAF2EA19C19167118D14DC97"
"Write-MyError.ps1","C:\sc\xopBuildLibrary\Public\Write-MyError.ps1","5/5/2026 11:38:05 AM","2888","939D8E05A53C9C9FF2EB7C2193CD216BBAF5817DE5168CC6038116AA254822F7"
"Write-MyOutput.ps1","C:\sc\xopBuildLibrary\Public\Write-MyOutput.ps1","5/5/2026 11:38:05 AM","3237","3A26EDE77E7754464B88341BC18CC3960997606F6C956576D36D9E7B4183C827"
"Write-MyVerbose.ps1","C:\sc\xopBuildLibrary\Public\Write-MyVerbose.ps1","5/5/2026 11:38:05 AM","2950","DCFD0B181BE5B0F0B1986E325C667B981A0780775BD0945C84990F0601E4708A"
"Write-MyWarning.ps1","C:\sc\xopBuildLibrary\Public\Write-MyWarning.ps1","5/5/2026 11:38:05 AM","2904","74A66767332AA4C33A43EB800D9997F217B677B8A6604FE001D656469CB0AD18"
"_getstatus_.ps1","C:\sc\xopBuildLibrary\Public\_getstatus_.ps1","5/5/2026 11:38:05 AM","5695","F22E84DE197DC073EBE437F33883C93BC414DBDA4398EF445D7586EDE3819578"
